                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.3956,                 1.0181,                0.96203,                0.42037,                0.32276,                0.31889,                0.18526,                 1.3443,                0.98972,                0.94044,               0.004951,               0.004951,               0.004951
                    104,                 1.3988,                 1.0171,                0.96452,                0.42152,                0.32439,                 0.3193,                0.18566,                 1.3422,                0.98868,                0.94009,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.3978,                 1.0146,                0.96121,                0.42599,                0.32293,                0.31971,                 0.1857,                 1.3402,                0.98746,                0.93976,               0.004852,               0.004852,               0.004852
                    106,                 1.3948,                 1.0145,                0.96311,                 0.4284,                0.32254,                0.31973,                0.18602,                 1.3397,                0.98549,                0.93936,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.3856,                 1.0062,                0.96173,                0.42103,                0.32448,                0.31942,                0.18566,                  1.339,                0.98498,                0.93879,               0.004753,               0.004753,               0.004753
                    108,                 1.3931,                 1.0115,                0.96186,                0.42223,                0.32318,                0.32011,                 0.1858,                 1.3389,                 0.9846,                0.93859,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.3893,                  1.005,                0.96164,                0.42438,                0.32346,                0.32024,                 0.1863,                 1.3396,                0.98405,                0.93856,               0.004654,               0.004654,               0.004654
                    110,                 1.3919,                 1.0069,                0.95807,                0.42565,                0.32198,                0.32004,                0.18619,                 1.3386,                0.98352,                0.93809,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.3961,                 1.0083,                0.95934,                 0.4275,                0.32347,                0.32126,                0.18673,                 1.3384,                 0.9829,                0.93826,               0.004555,               0.004555,               0.004555
                    112,                 1.3853,                  1.003,                0.95999,                0.43275,                0.32071,                0.32155,                0.18677,                 1.3386,                0.98158,                0.93817,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.3889,                 1.0073,                0.96059,                0.43125,                0.32342,                 0.3209,                 0.1869,                 1.3377,                0.98101,                 0.9377,               0.004456,               0.004456,               0.004456
                    114,                 1.3799,                0.99971,                0.95667,                0.42935,                0.32235,                0.32167,                0.18706,                 1.3355,                0.97982,                0.93715,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.3822,                0.99055,                0.95758,                0.42853,                0.32124,                0.32163,                0.18741,                 1.3347,                0.98026,                  0.937,               0.004357,               0.004357,               0.004357
                    116,                 1.3828,                0.99814,                0.95937,                0.43253,                0.31871,                0.32171,                0.18745,                 1.3338,                   0.98,                0.93685,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.3764,                0.99303,                0.95503,                0.43229,                0.32099,                0.32209,                0.18795,                 1.3332,                0.97953,                0.93671,               0.004258,               0.004258,               0.004258
                    118,                 1.3858,                0.99583,                0.95862,                0.42874,                0.32145,                0.32251,                0.18826,                 1.3331,                0.97904,                 0.9368,              0.0042085,              0.0042085,              0.0042085
                    119,                  1.374,                0.98836,                0.95796,                0.42704,                0.32514,                 0.3221,                 0.1881,                 1.3326,                0.97872,                0.93664,               0.004159,               0.004159,               0.004159
                    120,                  1.379,                0.99627,                0.95942,                0.43357,                0.32364,                0.32299,                0.18885,                 1.3321,                0.97699,                0.93656,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.3934,                 1.0006,                0.95734,                0.42985,                0.32484,                0.32378,                0.18929,                 1.3319,                0.97597,                 0.9365,                0.00406,                0.00406,                0.00406
                    122,                 1.3762,                0.99346,                0.95519,                0.43041,                0.32434,                0.32443,                0.18921,                  1.332,                 0.9756,                0.93648,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.3758,                0.98831,                0.95518,                0.43427,                0.32228,                0.32461,                0.18928,                 1.3323,                0.97543,                0.93642,               0.003961,               0.003961,               0.003961
                    124,                 1.3761,                 0.9863,                 0.9557,                0.43097,                0.32445,                0.32494,                0.18926,                 1.3327,                0.97466,                0.93662,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.3751,                   0.99,                0.95293,                0.43192,                0.32461,                0.32525,                0.18941,                 1.3331,                0.97387,                0.93678,               0.003862,               0.003862,               0.003862
                    126,                  1.371,                0.98406,                0.95433,                0.42673,                0.32709,                0.32544,                0.18966,                 1.3327,                0.97347,                0.93637,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.3819,                0.99092,                0.95536,                0.42588,                0.32969,                0.32587,                0.18985,                 1.3321,                0.97308,                0.93638,               0.003763,               0.003763,               0.003763
                    128,                 1.3683,                0.97941,                 0.9536,                0.42934,                0.32876,                0.32627,                0.19011,                  1.331,                0.97208,                0.93612,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.3694,                0.98094,                 0.9551,                0.43079,                0.32762,                0.32668,                0.19045,                 1.3298,                0.97136,                0.93575,               0.003664,               0.003664,               0.003664
                    130,                 1.3656,                0.97761,                0.95086,                0.43307,                0.32731,                0.32673,                0.19059,                 1.3289,                0.97104,                0.93547,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.3683,                 0.9795,                0.95225,                 0.4378,                0.32697,                0.32677,                 0.1905,                 1.3282,                0.97093,                0.93534,               0.003565,               0.003565,               0.003565
                    132,                 1.3716,                 0.9794,                0.95487,                0.44484,                0.32567,                0.32736,                0.19052,                 1.3274,                0.97083,                0.93516,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.3665,                0.98057,                0.95372,                0.44317,                0.32683,                0.32762,                0.19075,                 1.3271,                0.97035,                0.93503,               0.003466,               0.003466,               0.003466
                    134,                 1.3612,                0.97491,                0.95147,                0.44089,                0.32659,                0.32776,                0.19085,                 1.3267,                0.96982,                0.93487,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.3626,                0.97268,                 0.9518,                 0.4428,                0.32621,                 0.3281,                0.19122,                 1.3265,                0.96946,                0.93494,               0.003367,               0.003367,               0.003367
                    136,                 1.3544,                0.96992,                0.95096,                0.44479,                0.32522,                0.32808,                0.19129,                 1.3264,                0.96918,                0.93477,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3615,                0.96818,                0.95091,                0.44038,                0.32742,                 0.3284,                0.19163,                 1.3262,                0.96882,                0.93471,               0.003268,               0.003268,               0.003268
                    138,                 1.3561,                0.96698,                 0.9488,                0.44195,                0.32722,                0.32859,                0.19162,                 1.3264,                0.96851,                0.93472,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.3575,                0.96442,                0.95065,                 0.4401,                0.32668,                0.32878,                0.19188,                 1.3267,                0.96809,                0.93496,               0.003169,               0.003169,               0.003169
                    140,                 1.3587,                0.96808,                 0.9493,                0.44013,                0.32789,                0.32891,                0.19187,                 1.3266,                0.96788,                0.93493,              0.0031195,              0.0031195,              0.0031195
